publisher,title,summary,pubdate,link,thumblink
Buzzfeed,Anne Hathaway Just Showed Off Her Baby Bump And Her Dress Had The Cutest Hidden Detail,"Anne made her first red carpet appearance since announcing her pregnancy last month for the Broadway opening of Jake Gyllenhaal's play,Sea Wall/A Life.View Entire Post &rsaquo;","Fri, 09 Aug 2019 14:26:09 -0400",https://www.buzzfeed.com/benhenry/anne-hathaway-baby-bump-dress-detail,https://img.buzzfeed.com/buzzfeed-static/static/2019-08/9/10/tmp/3afeff980d81/tmp-name-2-1799-1565347278-0_dblbig.jpg
Buzzfeed,15 Very Cute Photos Celebrities Shared On International Cat Day,Who's a good kitteh?View Entire Post &rsaquo;,"Fri, 09 Aug 2019 04:17:07 -0400",https://www.buzzfeed.com/crystalro/celebs-and-cats,https://img.buzzfeed.com/buzzfeed-static/static/2019-08/9/4/campaign_images/edd4e410b9a6/15-very-cute-photos-celebrities-shared-on-interna-2-1153-1565324221-0_dblbig.jpg
Buzzfeed,"Taylor Swift Says She Spoke Out For LGBTQ Rights After A ""Devastating"" Moment With Todrick Hall","“If he was thinking that, I can’t imagine what my fans in the LGBTQ community might be thinking.""View Entire Post &rsaquo;","Fri, 09 Aug 2019 08:26:22 -0400",https://www.buzzfeed.com/stephenlaconte/taylor-swift-vogue-todrick-hall-lgbtq-rights,https://img.buzzfeed.com/buzzfeed-static/static/2019-08/8/23/tmp/92f0343bf503/tmp-name-2-580-1565308130-0_dblbig.jpg
Buzzfeed,"Meagan Good Turned 38, So Here Are 38 Fashion Moments We'll Never Forget","Happy birthday, Meagan!View Entire Post &rsaquo;","Fri, 09 Aug 2019 00:52:45 -0400",https://www.buzzfeed.com/morganmurrell/meagan-good-birthday-style-appreciation,https://img.buzzfeed.com/buzzfeed-static/static/2019-08/8/23/campaign_images/206f22800ea0/meagan-good-turned-38-so-heres-38-fashion-moments-2-575-1565307894-0_dblbig.jpg
Buzzfeed,15 Awesome Celebrity #TBT Photos You Need To See This Week,Zoë Kravitz at the photo shoot for theOops!... I Did It Againalbum cover kicks off this week's #ThrowbackThursday!View Entire Post &rsaquo;,"Fri, 09 Aug 2019 02:25:43 -0400",https://www.buzzfeed.com/briangalindo/15-great-celebrity-tbt-photos-august-8,https://img.buzzfeed.com/buzzfeed-static/static/2019-08/8/23/tmp/ed895f8b0705/tmp-name-2-505-1565306632-0_dblbig.jpg
Buzzfeed,"Steve Warned Bucky Beforehand About His Surprise Decision At The End Of ""Avengers: Endgame""","Stucky fans, this one's for you.View Entire Post &rsaquo;","Fri, 09 Aug 2019 14:25:47 -0400",https://www.buzzfeed.com/alliehayes/avengers-endgame-bucky-captain-america,https://img.buzzfeed.com/buzzfeed-static/static/2019-08/8/22/tmp/a277224750e1/tmp-name-2-448-1565304942-0_dblbig.jpg
Buzzfeed,Do You Think You Can Get At Least A 5/10 On This Random '90s Movie Trivia Quiz?,Warning: This is a very tricky quiz!View Entire Post &rsaquo;,"Fri, 09 Aug 2019 00:25:48 -0400",https://www.buzzfeed.com/briangalindo/you-know-a-lot-about-90s-behind-the-scenes-movie-trivia-if,https://img.buzzfeed.com/buzzfeed-static/static/2019-08/6/17/tmp/04c5b976001f/tmp-name-2-1591-1565111771-0_dblbig.jpg
Buzzfeed,"I Can't Get Over How Good The ""90210"" Cast Looks All These Years Later",Mind = blown.View Entire Post &rsaquo;,"Fri, 09 Aug 2019 02:25:45 -0400",https://www.buzzfeed.com/terrycarter/beverly-hills-90210-cast-opening-credits-then-and-now,https://img.buzzfeed.com/buzzfeed-static/static/2019-08/8/20/tmp/cb70f6c538d6/tmp-name-2-201-1565297611-0_dblbig.jpg
Buzzfeed,"Shia LaBeouf Is Starring In A Film Loosely Based On His Life, And The Trailer Alone Is A Tearjerker","""You don't know how good I am at what I do...""View Entire Post &rsaquo;","Thu, 08 Aug 2019 22:25:55 -0400",https://www.buzzfeed.com/alliehayes/untitled-draft-1565287269,https://img.buzzfeed.com/buzzfeed-static/static/2019-08/8/19/tmp/41429f80c328/tmp-name-2-3323-1565291271-0_dblbig.jpg
Buzzfeed,"FYI Jacob Elordi From ""Euphoria"" Isn't Just Hot, He's A Hot AUSTRALIAN","Yes, he's got an accent people!!View Entire Post &rsaquo;","Fri, 09 Aug 2019 06:26:29 -0400",https://www.buzzfeed.com/lyapalater/fyi-jacob-elordi-from-euphoria-isnt-just-hot-hes-a-hot,https://img.buzzfeed.com/buzzfeed-static/static/2019-08/8/18/campaign_images/9720014145a5/fyi-jacob-elordi-from-euphoria-isnt-just-hot-hes--2-3785-1565289355-0_dblbig.jpg
