publisher,title,summary,pubdate,link,thumblink
New York Times,"Australia’s ‘Unbreakable,’ and Worrisome, Alliance","Mike Pompeo, the United States secretary of state, came to Sydney a few days ago. Here’s what it means.","Fri, 09 Aug 2019 00:50:28 +0000",https://www.nytimes.com/2019/08/08/world/australia/pompeo-china.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/09/world/09australialetter199-1/09australialetter199-1-moth.jpg
New York Times,What’s Going On in Hong Kong? What to Know About the Protests,"The demonstrations in Hong Kong have evolved, marked by changing tactics and goals — and more frequent violence. We explain why.","Fri, 09 Aug 2019 13:29:47 +0000",https://www.nytimes.com/2019/08/08/world/asia/hong-kong-protests-whats-going-on.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/07/world/07hkg-catchup1/07hkg-catchup1-moth.jpg
New York Times,19 Bodies Hung From Bridge or Dismembered in Mexico Gang Feud,"The victims were found in the western state of Michoacan, alongside a banner bearing the initials of the Jalisco cartel and threatening a rival gang.","Fri, 09 Aug 2019 09:30:09 +0000",https://www.nytimes.com/2019/08/08/world/americas/mexico-drug-feud-bodies-michoacan.html?emc=rss&partner=rss,
New York Times,"Gun Control, Andrew McCabe, Sharks: Your Thursday Evening Briefing",Here’s what you need to know at the end of the day.,"Thu, 08 Aug 2019 22:14:18 +0000",https://www.nytimes.com/2019/08/08/briefing/united-nations-andrew-mccabe-sharks.html?emc=rss&partner=rss,
New York Times,Venezuela’s Leader Suspends Talks With Opposition,President Nicolás Maduro said the move was in response to the Trump administration’s latest round of economic sanctions.,"Thu, 08 Aug 2019 21:56:58 +0000",https://www.nytimes.com/2019/08/08/world/americas/venezuela-maduro-opposition-talks-barbados.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/world/08venezuela/08venezuela-moth.jpg
New York Times,"Hong Kong, Kashmir, Iran: Your Friday Briefing",Spy games in Iran.,"Thu, 08 Aug 2019 22:45:08 +0000",https://www.nytimes.com/2019/08/08/briefing/hong-kong-kashmir-iran.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/briefing/09ambriefing-asia-promo/09ambriefing-asia-slide-MXNM-moth.jpg
New York Times,"Protesters Plan to Swarm Hong Kong’s Airport, a Symbol of Efficiency",Antigovernment protesters are expected to kick off a three-day demonstration on Friday in an effort to maintain the movement’s momentum.,"Fri, 09 Aug 2019 03:35:01 +0000",https://www.nytimes.com/2019/08/08/world/asia/hong-kong-airport-protest.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/09/world/09hk-airport-1/09hk-airport-1-moth.jpg
New York Times,Afghan War Casualty Report: August 2-8,At least 96 pro-government forces and 35 civilians were killed in Afghanistan during the past week.,"Thu, 08 Aug 2019 19:19:57 +0000",https://www.nytimes.com/2019/08/08/magazine/afghan-war-casualty-report.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/magazine/08atwar-casualtyreport-1/08atwar-casualtyreport-1-moth.jpg
New York Times,Beatles Fans Come Together on Abbey Road for a 50-Year Anniversary,"Hundreds of people gathered at a London crosswalk, where musical history was made at a zebra crossing.","Fri, 09 Aug 2019 04:48:51 +0000",https://www.nytimes.com/2019/08/08/world/europe/beatles-abbey-road-crossing-anniversary.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/world/08abbeyroad1/08abbeyroad1-moth.jpg
New York Times,"In the Ethiopian Mountains, Ancient Humans Were Living the High Life","Humans may have inhabited sites at high elevations far earlier than once believed, a new study suggests.","Thu, 08 Aug 2019 20:03:21 +0000",https://www.nytimes.com/2019/08/08/science/humans-high-altitude-ethiopia.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/science/08SCI-ALTITUDE1b/08SCI-ALTITUDE1b-moth.jpg
